,Photon Numbers,Overlaps
0,0.0,0.5
1,1e-05,0.4765837606960716
2,2.1544346900318823e-05,0.48383010761463807
3,4.641588833612782e-05,0.498288475332964
4,0.0001,0.5250385639613563
5,0.00021544346900318823,0.5685440899902714
6,0.00046415888336127773,0.6271544874960047
7,0.001,0.6898680011482946
8,0.002154434690031882,0.7426084804370138
9,0.004641588833612777,0.7783021297912516
10,0.01,0.7987656179581282
11,0.021544346900318822,0.8092191277371676
12,0.046415888336127774,0.8139778347327171
13,0.1,0.8154450363398784
14,0.21544346900318823,0.8144061181643073
15,0.46415888336127725,0.8102036480172026
16,1.0,0.8002839262578489
17,2.154434690031882,0.77867680557002
18,4.641588833612772,0.7324091520608298
19,10.0,0.6357341956823197
