,Photon Numbers,Fidelities
0,0.0,0.5
1,0.001,0.7280045708670253
2,0.0015252229565390183,0.7719610803014526
3,0.0023263050671536263,0.8124727710290606
4,0.0035481338923357532,0.8472635558550083
5,0.0054116952654646375,0.8752803186722234
6,0.008254041852680182,0.8966177793577355
7,0.012589254117941668,0.9121202205443878
8,0.01920141938638801,0.9229253671859416
9,0.02928644564625236,0.9301319067702982
10,0.0446683592150963,0.9346278987029122
11,0.06812920690579612,0.9370340952274447
12,0.10391223038351691,0.9377023382995651
13,0.15848931924611126,0.9367259466194426
14,0.24173154808041036,0.9339384344108377
15,0.36869450645195734,0.9288908608938552
16,0.5623413251903491,0.9208089677727811
17,0.8576958985908937,0.9085457535846239
18,1.3081774742601928,0.8905706605781527
19,1.9952623149688795,0.8650808929875871
