,Transmissions,Overlaps
0,0.0,0.4679277924168208
1,0.034482758620689655,0.7610572927395917
2,0.06896551724137931,0.8193891811105477
3,0.10344827586206896,0.8446838407163625
4,0.13793103448275862,0.8568835600588909
5,0.1724137931034483,0.8626817897395995
6,0.20689655172413793,0.8649677248591265
7,0.24137931034482757,0.8651788716144759
8,0.27586206896551724,0.8641022123374611
9,0.3103448275862069,0.8621997167354865
10,0.3448275862068966,0.8597573925837141
11,0.3793103448275862,0.856959802430481
12,0.41379310344827586,0.8539300598807285
13,0.4482758620689655,0.8507524600633698
14,0.48275862068965514,0.8474859320630028
15,0.5172413793103449,0.8441723433269839
16,0.5517241379310345,0.8408417967823067
17,0.5862068965517241,0.8375161144286347
18,0.6206896551724138,0.8342111872725932
19,0.6551724137931034,0.8309385890219516
20,0.6896551724137931,0.8277067150677131
21,0.7241379310344828,0.8245215903057324
22,0.7586206896551724,0.8213874586670082
23,0.7931034482758621,0.8183072219666725
24,0.8275862068965517,0.8152827493286279
25,0.8620689655172413,0.812315131699032
26,0.896551724137931,0.8094048586646218
27,0.9310344827586207,0.8065519597630396
28,0.9655172413793103,0.8037561145008401
29,1.0,0.8010167339099906
