,Photon Numbers,Overlaps
0,0.0,0.5
1,0.001,0.7175321464312161
2,0.001668100537200059,0.7600795787828993
3,0.0027825594022071257,0.7946341264712582
4,0.004641588833612777,0.8203086962805808
5,0.007742636826811269,0.8380751052406537
6,0.01291549665014884,0.8497249790597936
7,0.021544346900318832,0.8570464105688165
8,0.03593813663804626,0.8614476956513253
9,0.059948425031894084,0.8638899197135529
10,0.1,0.8649435843312974
11,0.1668100537200059,0.8648576980781021
12,0.2782559402207123,0.8635914130811423
13,0.46415888336127775,0.8607835776664776
14,0.774263682681127,0.8556322466539101
15,1.2915496650148828,0.8466296069467796
16,2.154434690031882,0.8310469205218296
17,3.593813663804626,0.8040188318783703
18,5.994842503189409,0.7573069468450127
19,10.0,0.6795265949646119
