Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:13:39
Elapsed Time;00:00:59:980
Samples;811

--Statistics--
Minimum [W];7,9734E-05
Maximum [W];8,0321E-05
Mean [W];7,9969E-05
Standard Deviation [W];9,1943E-08
Ratio;1,007 : 1

--Graph Data--
Time (ms);Power (W)
17307,684;7,9768E-05
17345,684;7,9779E-05
17481,684;7,98E-05
17543,684;7,9832E-05
17602,684;7,9858E-05
17664,684;7,9868E-05
17787,684;7,9941E-05
17845,684;7,9974E-05
17908,684;8,0014E-05
17946,684;8,0066E-05
18005,684;8,009E-05
18077,684;8,0059E-05
18134,684;8,0036E-05
18193,684;8,0054E-05
18256,684;8,0081E-05
18314,684;8,0076E-05
18386,684;8,0031E-05
18451,684;7,9979E-05
18559,684;7,9909E-05
18749,684;7,9832E-05
18812,684;7,9965E-05
18871,684;8,0053E-05
18933,684;8,0078E-05
19031,684;8,0057E-05
19114,684;8,0018E-05
19172,684;7,9993E-05
19221,684;7,9973E-05
19289,684;7,9967E-05
19411,684;8,0063E-05
19473,684;8,0056E-05
19532,684;8,0006E-05
19573,684;7,9962E-05
19657,684;7,9922E-05
19778,684;7,9845E-05
19836,684;7,9863E-05
19889,684;7,986E-05
19948,684;7,984E-05
20013,684;7,9864E-05
20136,684;8,0016E-05
20193,684;8,0014E-05
20252,684;7,9946E-05
20313,684;7,9926E-05
20427,684;7,9986E-05
20484,684;8,0012E-05
20543,684;8,0007E-05
20604,684;8,0025E-05
20666,684;8,0017E-05
20780,684;7,9945E-05
20842,684;7,9953E-05
20901,684;7,9979E-05
20966,684;7,9964E-05
21024,684;7,9963E-05
21159,684;7,992E-05
21218,684;7,9891E-05
21283,684;7,9886E-05
21342,684;7,9916E-05
21464,684;7,9933E-05
21523,684;7,9982E-05
21564,684;8,0069E-05
21623,684;8,0093E-05
21707,684;8,0067E-05
21863,870;8,0073E-05
21924,870;8,0108E-05
22011,870;8,0109E-05
22069,870;8,0085E-05
22165,870;7,9998E-05
22249,870;7,9975E-05
22287,870;7,9943E-05
22346,870;7,9941E-05
22413,870;7,9955E-05
22531,870;7,9951E-05
22599,870;7,9893E-05
22658,870;7,9835E-05
22724,870;7,9803E-05
22843,026;7,992E-05
22906,026;7,9975E-05
22964,026;7,9978E-05
23027,026;7,9934E-05
23152,026;7,9906E-05
23214,026;7,994E-05
23276,026;7,9983E-05
23313,026;7,9978E-05
23372,026;7,9967E-05
23443,026;7,997E-05
23506,026;7,994E-05
23564,026;7,9909E-05
23624,026;7,9915E-05
23683,026;7,9933E-05
23797,026;7,991E-05
23881,026;7,9887E-05
23918,026;7,9881E-05
24002,026;7,9888E-05
24098,026;7,9897E-05
24161,026;7,9908E-05
24219,026;7,992E-05
24278,026;7,9943E-05
24341,026;7,9984E-05
24491,809;8,0051E-05
24525,809;8,003E-05
24583,809;8,0017E-05
24646,809;8,0013E-05
24705,809;8,0016E-05
24820,806;8,0018E-05
24891,806;7,996E-05
24953,806;7,997E-05
25008,806;7,9995E-05
25070,806;7,9955E-05
25214,806;7,9898E-05
25248,806;7,9883E-05
25311,806;7,9859E-05
25370,806;7,9833E-05
25454,806;7,9816E-05
25558,806;7,9793E-05
25619,806;7,9782E-05
25680,806;7,9799E-05
25743,806;7,9809E-05
25801,806;7,9851E-05
25922,919;7,9966E-05
25983,919;7,9963E-05
26047,919;7,991E-05
26106,919;7,9851E-05
26164,919;7,9807E-05
26328,919;8,0184E-05
26393,919;8,0186E-05
26452,919;8,0037E-05
26537,919;7,9927E-05
26654,919;7,9996E-05
26695,919;8,0012E-05
26753,919;8,0021E-05
26814,919;8,0009E-05
26874,919;7,9966E-05
26991,919;7,9941E-05
27049,919;7,9915E-05
27114,919;7,9906E-05
27173,919;7,9909E-05
27246,919;7,9952E-05
27305,919;7,9982E-05
27353,919;7,9997E-05
27412,919;8,0015E-05
27471,919;8,0038E-05
27602,919;8,0116E-05
27665,919;8,0085E-05
27726,919;8,0079E-05
27788,919;8,0106E-05
27911,036;8,0107E-05
28035,036;8,0061E-05
28085,036;8,0026E-05
28151,036;7,9983E-05
28216,036;7,9948E-05
28255,036;7,9943E-05
28339,036;7,9956E-05
28400,036;7,9963E-05
28500,036;7,9943E-05
28563,036;7,9945E-05
28622,036;7,9878E-05
28681,036;7,9819E-05
28744,036;7,9814E-05
28878,036;7,9825E-05
28937,036;7,9857E-05
28996,036;7,9878E-05
29059,036;7,9877E-05
29170,036;7,9861E-05
29229,036;7,99E-05
29287,036;7,9922E-05
29350,036;7,9997E-05
29469,036;7,9979E-05
29537,036;7,9968E-05
29600,036;8,0088E-05
29659,036;8,0101E-05
29778,515;7,9877E-05
29837,515;7,9865E-05
29954,515;7,9944E-05
30024,515;7,9907E-05
30082,515;7,9874E-05
30128,515;7,9892E-05
30190,515;7,9944E-05
30249,515;7,9967E-05
30323,515;7,9956E-05
30387,515;7,994E-05
30445,515;7,993E-05
30508,515;7,9903E-05
30567,515;7,9894E-05
30672,515;7,9838E-05
30734,515;7,9824E-05
30793,515;7,9847E-05
30855,515;7,9842E-05
30924,515;7,9829E-05
30983,515;7,9839E-05
31104,697;7,9945E-05
31163,697;7,9981E-05
31284,697;7,9937E-05
31347,697;7,9937E-05
31458,697;7,9864E-05
31523,697;7,9843E-05
31644,697;7,984E-05
31703,697;7,9817E-05
31753,697;7,9819E-05
31812,697;7,9815E-05
31874,697;7,981E-05
31945,697;7,9814E-05
32003,697;7,9846E-05
32067,697;7,9925E-05
32135,697;8,002E-05
32173,697;8,0109E-05
32244,697;8,0151E-05
32303,697;8,013E-05
32367,697;8,0084E-05
32425,697;8,0051E-05
32480,697;8,0023E-05
32535,697;7,9988E-05
32594,697;7,9966E-05
32673,697;7,9955E-05
32732,697;7,9945E-05
32790,697;7,9896E-05
32908,697;7,9894E-05
32973,697;7,9949E-05
33032,697;7,9978E-05
33092,697;7,9976E-05
33153,697;7,9955E-05
33272,697;7,9934E-05
33330,697;7,9928E-05
33395,697;7,9962E-05
33454,697;8,0001E-05
33540,697;8,0022E-05
33642,697;8,0072E-05
33679,697;8,0111E-05
33763,697;8,0138E-05
33822,697;8,0132E-05
33883,697;8,0106E-05
34042,697;7,9982E-05
34185,120;7,9912E-05
34222,120;7,9932E-05
34345,120;7,9911E-05
34404,120;7,9887E-05
34487,120;7,9894E-05
