Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 17:14:31
Elapsed Time;00:00:59:976
Samples;816

--Statistics--
Minimum [W];7,8871E-05
Maximum [W];7,9374E-05
Mean [W];7,9148E-05
Standard Deviation [W];7,9981E-08
Ratio;1,006 : 1

--Graph Data--
Time (ms);Power (W)
17111,570;7,9106E-05
17233,570;7,9168E-05
17356,570;7,917E-05
17418,570;7,916E-05
17480,570;7,9131E-05
17604,570;7,9173E-05
17663,570;7,9202E-05
17703,570;7,9246E-05
17765,570;7,9202E-05
17829,570;7,9141E-05
17900,570;7,9149E-05
17963,570;7,9118E-05
18021,570;7,91E-05
18084,570;7,9202E-05
18144,570;7,9304E-05
18308,513;7,927E-05
18367,513;7,925E-05
18450,513;7,9198E-05
18488,513;7,9147E-05
18553,513;7,9143E-05
18674,513;7,9169E-05
18739,513;7,9092E-05
18798,513;7,8997E-05
18862,513;7,8986E-05
18915,513;7,8998E-05
19034,513;7,8974E-05
19093,513;7,9002E-05
19152,513;7,9066E-05
19214,513;7,9075E-05
19285,513;7,9096E-05
19408,513;7,9185E-05
19473,513;7,9111E-05
19532,513;7,9082E-05
19593,513;7,9122E-05
19708,513;7,9097E-05
19772,513;7,9175E-05
19830,513;7,9229E-05
19889,513;7,9216E-05
19951,513;7,9207E-05
20066,513;7,9232E-05
20127,513;7,9219E-05
20190,513;7,9206E-05
20248,513;7,9195E-05
20310,513;7,9204E-05
20415,513;7,9185E-05
20478,513;7,9172E-05
20537,513;7,915E-05
20599,513;7,9179E-05
20671,513;7,9203E-05
20729,513;7,9166E-05
20792,513;7,9148E-05
20849,513;7,9193E-05
20919,513;7,9252E-05
21019,513;7,9218E-05
21081,513;7,924E-05
21144,513;7,9227E-05
21207,513;7,9176E-05
21338,513;7,9127E-05
21403,513;7,9127E-05
21461,513;7,917E-05
21503,513;7,919E-05
21563,513;7,9179E-05
21636,513;7,9182E-05
21694,513;7,9154E-05
21753,513;7,9171E-05
21816,513;7,9197E-05
21877,513;7,9177E-05
21998,513;7,9161E-05
22061,513;7,9177E-05
22118,513;7,9241E-05
22174,513;7,9264E-05
22247,513;7,9261E-05
22306,513;7,9242E-05
22368,513;7,9209E-05
22427,513;7,918E-05
22466,513;7,9128E-05
22533,513;7,9121E-05
22588,513;7,9153E-05
22674,513;7,9168E-05
22712,513;7,9175E-05
22771,513;7,9171E-05
22899,513;7,9167E-05
22968,513;7,9188E-05
23031,513;7,9229E-05
23089,513;7,9274E-05
23211,513;7,9288E-05
23252,513;7,9246E-05
23311,513;7,9208E-05
23394,513;7,919E-05
23511,513;7,9232E-05
23552,513;7,9238E-05
23611,513;7,921E-05
23693,513;7,9199E-05
23754,513;7,9191E-05
23852,513;7,9205E-05
23913,513;7,9229E-05
23977,513;7,9207E-05
24036,513;7,925E-05
24097,513;7,9331E-05
24168,513;7,9331E-05
24233,513;7,9268E-05
24292,513;7,9155E-05
24412,513;7,9033E-05
24534,513;7,9127E-05
24592,513;7,9141E-05
24653,513;7,9162E-05
24715,513;7,9139E-05
24849,513;7,9172E-05
24883,513;7,9195E-05
24966,513;7,9197E-05
25002,513;7,921E-05
25073,513;7,923E-05
25132,513;7,9221E-05
25177,513;7,918E-05
25261,513;7,917E-05
25320,513;7,9148E-05
25479,414;7,9135E-05
25553,414;7,9136E-05
25612,414;7,9116E-05
25674,414;7,9121E-05
25796,414;7,9255E-05
25855,414;7,9245E-05
25910,414;7,9195E-05
25970,414;7,9175E-05
26085,414;7,9203E-05
26144,414;7,9186E-05
26203,414;7,9202E-05
26263,414;7,9194E-05
26321,414;7,9213E-05
26393,414;7,9214E-05
26455,414;7,9194E-05
26514,414;7,9154E-05
26577,414;7,9096E-05
26648,414;7,9054E-05
26761,947;7,9021E-05
26823,947;7,9077E-05
26882,947;7,91E-05
26947,947;7,9149E-05
26997,947;7,9168E-05
27068,947;7,9146E-05
27116,947;7,9132E-05
27181,947;7,9136E-05
27239,947;7,9146E-05
27290,947;7,914E-05
27361,947;7,9162E-05
27482,947;7,9172E-05
27545,947;7,9132E-05
27603,947;7,913E-05
27723,947;7,9114E-05
27783,947;7,9088E-05
27846,947;7,9061E-05
27905,947;7,9058E-05
28022,947;7,9172E-05
28085,947;7,9218E-05
28143,947;7,9246E-05
28208,947;7,9232E-05
28267,947;7,9168E-05
28390,947;7,9087E-05
28449,947;7,9068E-05
28511,947;7,9087E-05
28568,947;7,9101E-05
28690,947;7,9254E-05
28753,947;7,9251E-05
28812,947;7,9143E-05
28875,947;7,9068E-05
28996,947;7,9084E-05
29056,947;7,9151E-05
29116,947;7,9226E-05
29175,947;7,9285E-05
29288,947;7,9293E-05
29411,112;7,9181E-05
29476,112;7,9104E-05
29535,112;7,9066E-05
29582,112;7,9101E-05
29652,112;7,9124E-05
29715,112;7,9096E-05
29773,112;7,9077E-05
29835,112;7,909E-05
29896,112;7,9125E-05
30001,112;7,9249E-05
30065,112;7,9321E-05
30124,112;7,9326E-05
30182,112;7,9287E-05
30245,112;7,9238E-05
30381,112;7,9106E-05
30440,112;7,9116E-05
30562,112;7,9181E-05
30674,112;7,9186E-05
30734,112;7,9144E-05
30798,112;7,911E-05
30858,112;7,9084E-05
30916,112;7,904E-05
31030,112;7,9062E-05
31091,112;7,9114E-05
31155,112;7,9191E-05
31219,112;7,9172E-05
31277,112;7,915E-05
31397,112;7,9069E-05
31456,112;7,8978E-05
31519,112;7,8924E-05
31582,112;7,891E-05
31646,112;7,8926E-05
31762,112;7,8941E-05
31814,112;7,8958E-05
31876,112;7,8992E-05
31939,112;7,9043E-05
32007,112;7,9099E-05
32066,112;7,9166E-05
32125,112;7,9247E-05
32187,112;7,9302E-05
32246,112;7,928E-05
32365,980;7,9086E-05
32414,980;7,9125E-05
32472,980;7,9211E-05
32551,980;7,9257E-05
32610,980;7,9269E-05
32730,980;7,9208E-05
32789,980;7,9177E-05
32851,980;7,9184E-05
32910,980;7,9225E-05
32972,980;7,9297E-05
33079,980;7,9361E-05
33137,980;7,9279E-05
33196,980;7,9235E-05
33256,980;7,9216E-05
33315,980;7,9162E-05
33436,980;7,91E-05
33499,980;7,9105E-05
33580,980;7,9112E-05
33637,980;7,9122E-05
33752,980;7,9194E-05
33811,980;7,9185E-05
33876,980;7,9193E-05
33935,980;7,9167E-05
33989,980;7,9137E-05
34110,175;7,9119E-05
34173,175;7,9175E-05
34231,175;7,9231E-05
34290,175;7,9254E-05
34413,175;7,9295E-05
34476,175;7,9338E-05
34535,175;7,9287E-05
34594,175;7,9253E-05
34655,175;7,931E-05
34773,175;7,9353E-05
34834,175;7,9241E-05
34898,175;7,9131E-05
34955,175;7,9108E-05
35014,175;7,9115E-05
35139,175;7,9191E-05
35201,175;7,9129E-05
35261,175;7,9078E-05
35325,175;7,9092E-05
35384,175;7,9084E-05
35508,175;7,9131E-05
35569,175;7,9176E-05
35671,175;7,912E-05
35730,175;7,9145E-05
35856,175;7,9113E-05
35915,175;7,9058E-05
35980,175;7,9073E-05
36038,175;7,9096E-05
36096,175;7,9016E-05
36221,175;7,9072E-05
36284,175;7,9072E-05
36343,175;7,9044E-05
36409,175;7,9058E-05
36526,175;7,9095E-05
36589,175;7,9124E-05
36713,175;7,9157E-05
36830,175;7,9173E-05
36891,175;7,9176E-05
36994,175;7,9244E-05
37058,175;7,9245E-05
37130,175;7,9148E-05
37214,175;7,9068E-05
37251,175;7,9092E-05
37319,175;7,9091E-05
37356,175;7,906E-05
37431,175;7,9083E-05
37489,175;7,9123E-05
37537,175;7,9171E-05
37600,175;7,9219E-05
