Optical Power Monitor 6.1.4945.818

Power Meter;PM160
Power Meter SN;400786
Sensor;
Sensor SN;
Sensor Type;
Wavelength;780 nm
Range;Auto;range changed during the measurement.

Start of Measurement;12/2/2025 16:46:02
Elapsed Time;00:00:59:974
Samples;824

--Statistics--
Minimum [W];4,8708E-05
Maximum [W];4,9197E-05
Mean [W];4,8921E-05
Standard Deviation [W];7,8365E-08
Ratio;1,010 : 1

--Graph Data--
Time (ms);Power (W)
16399,706;4,8912E-05
16509,706;4,888E-05
16568,706;4,8874E-05
16687,706;4,8873E-05
16745,706;4,8907E-05
16808,706;4,896E-05
16867,706;4,8994E-05
16998,706;4,9009E-05
17110,706;4,8994E-05
17173,706;4,8961E-05
17290,706;4,8919E-05
17353,706;4,8912E-05
17420,706;4,8916E-05
17458,706;4,8925E-05
17529,706;4,8933E-05
17588,706;4,8943E-05
17652,706;4,8958E-05
17710,706;4,8955E-05
17846,855;4,8935E-05
17948,855;4,893E-05
18010,855;4,8936E-05
18069,855;4,895E-05
18196,927;4,8919E-05
18314,927;4,8949E-05
18370,927;4,8939E-05
18428,927;4,8911E-05
18491,927;4,889E-05
18565,927;4,8884E-05
18623,927;4,8891E-05
18682,927;4,8885E-05
18743,927;4,8879E-05
18802,927;4,8884E-05
18903,927;4,8879E-05
18972,927;4,8915E-05
19040,927;4,8976E-05
19098,927;4,9015E-05
19161,927;4,9021E-05
19270,927;4,8986E-05
19330,927;4,8975E-05
19393,927;4,897E-05
19452,927;4,8964E-05
19523,927;4,8959E-05
19582,927;4,8956E-05
19647,927;4,8943E-05
19706,927;4,8924E-05
19771,927;4,8941E-05
19892,927;4,8946E-05
19942,927;4,8929E-05
20007,927;4,8924E-05
20068,927;4,8917E-05
20172,927;4,892E-05
20238,927;4,8947E-05
20310,927;4,8961E-05
20427,927;4,8985E-05
20554,927;4,8994E-05
20591,927;4,9013E-05
20675,927;4,9029E-05
20715,927;4,9061E-05
20774,927;4,9096E-05
20845,927;4,9102E-05
20908,927;4,909E-05
20969,927;4,9067E-05
21027,927;4,9051E-05
21077,927;4,9062E-05
21146,927;4,9067E-05
21205,927;4,9051E-05
21264,927;4,9033E-05
21326,927;4,9027E-05
21385,927;4,9021E-05
21507,741;4,8997E-05
21638,741;4,9044E-05
21700,741;4,9021E-05
21807,741;4,898E-05
21866,741;4,8957E-05
21923,741;4,8933E-05
21986,741;4,8914E-05
22057,741;4,8899E-05
22116,741;4,8889E-05
22230,741;4,8861E-05
22288,741;4,8845E-05
22358,741;4,8835E-05
22417,741;4,8838E-05
22480,741;4,8839E-05
22527,741;4,8822E-05
22591,741;4,8806E-05
22659,741;4,8819E-05
22722,741;4,8861E-05
22782,741;4,8897E-05
22833,741;4,8901E-05
22892,741;4,8897E-05
22943,741;4,8913E-05
23026,741;4,8925E-05
23062,741;4,893E-05
23146,741;4,8948E-05
23326,741;4,8948E-05
23365,741;4,8924E-05
23447,741;4,892E-05
23490,741;4,8907E-05
23560,741;4,8909E-05
23621,741;4,8952E-05
23682,741;4,8992E-05
23745,741;4,9007E-05
23803,741;4,9004E-05
23925,262;4,8974E-05
23986,262;4,8959E-05
24029,262;4,8948E-05
24090,262;4,8949E-05
24161,262;4,8962E-05
24284,262;4,8953E-05
24346,262;4,8919E-05
24407,262;4,8906E-05
24469,262;4,8912E-05
24528,262;4,8923E-05
24649,262;4,8962E-05
24710,262;4,8969E-05
24835,262;4,8936E-05
24931,262;4,8919E-05
24994,262;4,8922E-05
25053,262;4,8942E-05
25118,262;4,8956E-05
25176,262;4,8949E-05
25246,262;4,892E-05
25305,262;4,8891E-05
25369,262;4,8865E-05
25430,262;4,8843E-05
25475,262;4,8817E-05
25596,262;4,8794E-05
25659,262;4,883E-05
25718,262;4,8881E-05
25781,262;4,8911E-05
25846,262;4,8939E-05
25919,262;4,8954E-05
25978,262;4,8958E-05
26039,262;4,8971E-05
26098,262;4,8978E-05
26160,262;4,8952E-05
26278,262;4,8923E-05
26399,262;4,8906E-05
26458,262;4,8907E-05
26500,262;4,8883E-05
26639,262;4,8847E-05
26759,262;4,8824E-05
26818,262;4,8832E-05
26939,262;4,8836E-05
27001,262;4,8878E-05
27060,262;4,8901E-05
27123,262;4,8901E-05
27221,262;4,8862E-05
27305,262;4,8858E-05
27346,262;4,884E-05
27409,262;4,8826E-05
27530,262;4,8869E-05
27591,262;4,8868E-05
