x,y
-125.0,0.14499117130811126
-121.96969696969697,0.1422472835983718
-118.93939393939394,0.13929060882905334
-115.9090909090909,0.13610165967200363
-112.87878787878788,0.13265931832267794
-109.84848484848484,0.1289408627426323
-106.81818181818181,0.12492208633874927
-103.78787878787878,0.12057755913460194
-100.75757575757575,0.11588109876654965
-97.72727272727272,0.11080654759345215
-94.69696969696969,0.10532899019154959
-91.66666666666666,0.09942659603192508
-88.63636363636364,0.0930833372429179
-85.60606060606061,0.08629291108291498
-82.57575757575758,0.07906428596938272
-79.54545454545455,0.0714293722391488
-76.51515151515152,0.06345335561404658
-73.48484848484848,0.05524814358755289
-70.45454545454545,0.04698901683019386
-67.42424242424242,0.0389337068809596
-64.39393939393939,0.031441387841515865
-61.36363636363637,0.02498608345487832
-58.33333333333333,0.020154589804447343
-55.3030303030303,0.017613901920152053
-52.27272727272728,0.018029938301159364
-49.24242424242425,0.021923563366091976
-46.21212121212122,0.029468826605963304
-43.18181818181819,0.0402753683043836
-40.151515151515156,0.05324115376095336
-37.121212121212125,0.0665821041563687
-34.09090909090909,0.07810633683974733
-31.060606060606062,0.08569973149350424
-28.03030303030303,0.0878770961048185
-25.0,0.08420051209696008
-21.96969696969697,0.07540640135025728
-18.939393939393938,0.0631927404387117
-15.909090909090907,0.049747699950496944
-12.878787878787875,0.037196989306781954
-9.848484848484844,0.027163280236349042
-6.818181818181813,0.020557298211515217
-3.787878787878782,0.017603591876116258
-0.7575757575757649,0.01801634713228939
2.2727272727272663,0.021219473480583687
5.303030303030312,0.026535578184120133
8.333333333333343,0.033313007318564423
11.363636363636374,0.04099272619846082
14.393939393939405,0.04913125581576557
17.424242424242436,0.05739747775964673
20.45454545454544,0.06555702146447051
23.48484848484847,0.07345286685345703
26.5151515151515,0.08098674552766577
29.545454545454533,0.0881032958876646
32.575757575757564,0.09477745705784343
35.606060606060595,0.10100487869092714
38.636363636363626,0.10679485493475396
41.66666666666666,0.11216524630701785
44.69696969696969,0.11713890744816366
47.72727272727272,0.12174122541134527
50.75757575757575,0.1259984608725135
53.78787878787878,0.12993666076795435
56.81818181818181,0.13358097205335925
59.848484848484844,0.1369552333063622
62.878787878787875,0.1400817560250079
65.9090909090909,0.1429812332202261
68.93939393939394,0.1456727315167547
71.96969696969697,0.14817373630680633
75.0,0.150500228973411
78.03030303030303,0.15266678188991395
81.06060606060606,0.15468666159947947
84.0909090909091,0.15657193385811893
87.12121212121212,0.1583335665001138
90.15151515151516,0.15998152765130433
93.18181818181819,0.16152487788390046
96.21212121212122,0.1629718556254459
99.24242424242425,0.16432995560990088
102.27272727272728,0.16560600046501356
105.30303030303031,0.16680620571974256
108.33333333333334,0.16793623862537183
111.36363636363637,0.16900127124000192
114.3939393939394,0.17000602824638772
117.42424242424244,0.17095482997018677
120.45454545454544,0.17185163104828338
123.48484848484847,0.17270005517091455
126.5151515151515,0.17350342629088808
129.54545454545453,0.1742647966609411
132.57575757575756,0.17498697202800748
135.60606060606062,0.1756725342819391
138.63636363636363,0.1763238618267389
141.66666666666669,0.17694314791495439
144.6969696969697,0.17753241716071536
147.72727272727275,0.1780935404239918
150.75757575757575,0.1786282482379375
153.7878787878788,0.17913814293255234
156.8181818181818,0.17962470959120164
159.84848484848487,0.18008932596160995
162.87878787878788,0.1805332714296494
165.90909090909088,0.18095773515240354
168.93939393939394,0.18136382343646404
171.96969696969694,0.18175256643806909
175.0,0.18212492425339477
