time_s,counts,smoothed
0.0,6,
0.01999999999998181,120,
0.03999999999996362,382,
0.05999999999994543,65,
0.07999999999992724,59,
0.09999999999990905,49,
0.11999999999989086,51,
0.13999999999987267,36,
0.15999999999985448,37,
0.1799999999998363,45,
0.1999999999998181,44,
0.2199999999997999,41,
0.23999999999978172,31,
0.25999999999976353,49,
0.27999999999974534,38,
0.29999999999972715,46,
0.31999999999970896,50,
0.33999999999969077,52,
0.3599999999996726,64,
0.3799999999996544,62,
0.3999999999996362,62,
0.419999999999618,74,
0.4399999999995998,52,
0.45999999999958163,60,
0.47999999999956344,66,
0.49999999999954525,125,
0.5199999999995271,190,
0.5399999999995089,311,
0.5599999999994907,534,
0.5799999999994725,933,
0.5999999999994543,1489,
0.6199999999994361,1974,
0.6399999999994179,2541,
0.6599999999993997,3589,
0.6799999999993815,3513,
0.6999999999993634,4569,
0.7199999999993452,4615,
0.739999999999327,5107,
0.7599999999993088,4533,
0.7799999999992906,4345,
0.7999999999992724,3829,
0.8199999999992542,2838,
0.839999999999236,2457,
0.8599999999992178,2016,
0.8799999999991996,1351,
0.8999999999991815,923,
0.9199999999991633,545,
0.9399999999991451,345,
0.9599999999991269,242,
0.9799999999991087,103,
0.9999999999990905,117,
1.0199999999990723,184,
1.0399999999990541,348,
1.059999999999036,466,
1.0799999999990177,728,
1.0999999999989996,1357,
1.1199999999989814,1805,
1.1399999999989632,2350,
1.159999999998945,3310,
1.1799999999989268,3213,
1.1999999999989086,3702,
1.2199999999988904,4778,
1.2399999999988722,4240,
1.259999999998854,4336,
1.2799999999988358,4370,
1.2999999999988177,4126,
1.3199999999987995,4329,
1.3399999999987813,4572,
1.359999999998763,4577,
1.379999999998745,4582,
1.3999999999987267,4652,
1.4199999999987085,4548,
1.4399999999986903,4588,
1.4599999999986721,4681,
1.479999999998654,4045,
1.4999999999986358,4467,
1.5199999999986176,4432,
1.5399999999985994,4973,
1.5599999999985812,4787,
1.579999999998563,4629,
1.5999999999985448,4717,
1.6199999999985266,4785,
1.6399999999985084,4943,
1.6599999999984902,4076,
1.679999999998472,4243,
1.6999999999984539,4605,
1.7199999999984357,4675,
1.7399999999984175,4543,
1.7599999999983993,4553,
1.779999999998381,4859,
1.799999999998363,4940,
1.8199999999983447,4501,
1.8399999999983265,4789,
1.8599999999983083,4395,
1.8799999999982901,4486,
1.899999999998272,4818,
1.9199999999982538,3956,
1.9399999999982356,5104,
1.9599999999982174,4739,
1.9799999999981992,4172,
1.999999999998181,4490,3553.645
2.019999999998163,3799,3575.155
2.0399999999981446,4854,3598.11
2.0599999999981264,4562,3618.585
2.0799999999981083,3726,3638.365
2.09999999999809,5259,3660.82
2.119999999998072,4911,3681.02
2.1399999999980537,5118,3704.95
2.1599999999980355,4340,3727.225
2.1799999999980173,4454,3751.08
2.199999999997999,5133,3772.805
2.219999999997981,4321,3794.72
2.2399999999979627,4471,3819.67
2.2599999999979445,4582,3843.38
2.2799999999979264,4287,3866.125
2.299999999997908,4575,3888.5
2.31999999999789,4736,3910.435
2.339999999997872,4593,3931.96
2.3599999999978536,4834,3953.625
2.3799999999978354,4666,3974.725
2.399999999997817,4859,3998.235
2.419999999997799,4781,4021.32
2.439999999997781,4585,4043.095
2.4599999999977626,4904,4064.06
2.4799999999977445,4499,4083.42
2.4999999999977263,4161,4104.21
2.519999999997708,4303,4128.565
2.53999999999769,4584,4150.31
2.5599999999976717,4558,4168.895
2.5799999999976535,4701,4187.82
2.5999999999976353,4746,4207.76
2.619999999997617,4824,4223.065
2.639999999997599,4313,4237.06
2.6599999999975807,4206,4247.405
2.6799999999975626,5038,4250.47
2.6999999999975444,4659,4255.38
2.719999999997526,4229,4257.58
2.739999999997508,5374,4257.745
2.75999999999749,4460,4255.755
2.7799999999974716,4770,4254.75
2.7999999999974534,4939,4255.255
2.8199999999974352,4246,4258.08
2.839999999997417,4604,4268.835
2.859999999997399,4573,4278.905
2.8799999999973807,4641,4293.66
2.8999999999973625,4963,4309.94
2.9199999999973443,4686,4328.96
2.939999999997326,5127,4347.3
2.959999999997308,5087,4367.485
2.9799999999972897,4260,4387.21
2.9999999999972715,5115,4409.66
