time_s,counts_ch4_raw,counts_ch7_raw,counts_ch4_smooth,counts_ch7_smooth,extinction_ratio
0.0,26,234,,,
0.024999999994179234,44,227,,,
0.04999999998835847,37,217,,,
0.0749999999825377,27,187,,,
0.09999999997671694,39,252,,,
0.12499999997089617,33,220,,,
0.1499999999650754,27,203,,,
0.17499999995925464,31,185,,,
0.19999999995343387,38,210,,,
0.2249999999476131,40,211,,,
0.24999999994179234,32,215,33.75,219.4,6.500740740548127
0.2749999999359716,32,196,34.55,218.0,6.309696092436768
0.2999999999301508,42,222,34.35,216.85,6.31295487608987
0.32499999992433004,34,208,34.1,216.65,6.35337243383128
0.3499999999185093,23,235,34.55,218.1,6.312590448442473
0.3749999999126885,29,249,34.5,217.5,6.304347825904222
0.39999999990686774,45,227,34.65,217.9,6.288600288418801
0.424999999901047,34,215,35.05,220.25,6.283880171004741
0.4499999998952262,34,226,35.3,220.7,6.252124645715238
0.47499999988940544,28,249,35.25,220.85,6.265248226772617
0.4999999998835847,42,206,34.6,219.95,6.356936416001244
0.5249999998777639,40,204,34.55,219.45,6.3516642545194895
0.5499999998719431,32,213,35.25,221.0,6.269503545921433
0.5749999998661224,36,216,35.25,219.55,6.228368794149551
0.5999999998603016,38,240,34.75,219.4,6.313669064566514
0.6249999998544808,36,228,35.5,218.55,6.156338027995597
0.6499999998486601,35,250,36.25,217.55,6.001379310179273
0.6749999998428393,36,194,35.8,217.75,6.082402234466973
0.6999999998370185,37,213,36.05,217.4,6.030513175976964
0.7249999998311978,27,193,35.6,216.6,6.084269662750442
0.749999999825377,31,205,35.8,215.5,6.019553072457556
0.7749999998195563,46,227,35.6,216.35,6.077247190840527
0.7999999998137355,42,193,34.95,218.6,6.254649499105732
0.8249999998079147,24,205,35.1,217.85,6.206552706375882
0.849999999802094,38,218,35.2,217.9,6.190340908915047
0.8749999997962732,44,229,34.95,215.95,6.178826895388302
0.8999999997904524,36,231,34.5,215.65,6.25072463749998
0.9249999997846317,39,208,34.65,215.6,6.2222222220426495
0.9499999997788109,25,210,34.6,217.95,6.299132947794822
0.9749999997729901,32,227,34.05,218.45,6.415565344892348
0.9999999997671694,38,223,34.35,220.35,6.414847161385303
