,Photon Numbers,Overlaps
0,0.0,0.5
1,1e-05,0.4774188947187017
2,2.1544346900318823e-05,0.4855733605898246
3,4.641588833612782e-05,0.501812362389977
4,0.0001,0.5317803658778657
5,0.00021544346900318823,0.5804469316179396
6,0.00046415888336127773,0.6462604527399941
7,0.001,0.7175321464312161
8,0.002154434690031882,0.7784657250544826
9,0.004641588833612777,0.8203086962805808
10,0.01,0.844546335961138
11,0.021544346900318822,0.85704641056881
12,0.046415888336127774,0.8628697949553772
13,0.1,0.8649435843312974
14,0.21544346900318823,0.8643862899667093
15,0.46415888336127725,0.8607835776664783
16,1.0,0.8517458649529466
17,2.154434690031882,0.8310469205218316
18,4.641588833612772,0.7837941175505165
19,10.0,0.6795265949646033
