,Photon Numbers,Overlaps
0,1e-05,0.47741899034486
1,2.06913808111479e-05,0.4849852435955679
2,4.281332398719396e-05,0.4995639244999218
3,8.858667904100833e-05,0.5258901823917882
4,0.00018329807108324357,0.5685689595344166
5,0.000379269019073225,0.6277626246407141
6,0.0007847599703514606,0.6954108763058778
7,0.001623776739188721,0.757955860626395
8,0.003359818286283781,0.8049661269815123
9,0.0069519279617756054,0.8346183665586882
10,0.01438449888287663,0.8509734005201869
11,0.029763514416313162,0.8588564487380458
12,0.06158482110660261,0.8614101148032736
13,0.1274274985703132,0.8597221087088847
14,0.26366508987303555,0.8527501813588916
15,0.5455594781168515,0.836495838981708
16,1.1288378916846884,0.8015700968100833
17,2.3357214690901213,0.7285452639928905
18,4.832930238571752,0.5942372766603193
19,10.0,0.457640855429162
