MWfrequencies,SDmean,err_SDmean
-250.0,0.015873015873015872,0.01574653564323481
-248.99799599198397,0.0,0.0
-247.99599198396794,0.015873015873015872,0.01574653564323481
-246.9939879759519,0.015873015873015872,0.01574653564323481
-245.99198396793588,0.0,0.0
-244.98997995991985,0.0,0.0
-243.98797595190382,0.0,0.0
-242.98597194388776,0.0,0.0
-241.98396793587173,0.0,0.0
-240.9819639278557,0.0,0.0
-239.97995991983967,0.047619047619047616,0.026830293800905285
-238.97795591182364,0.015873015873015872,0.01574653564323481
-237.9759519038076,0.0,0.0
-236.97394789579158,0.0,0.0
-235.97194388777555,0.015873015873015872,0.01574653564323481
-234.96993987975952,0.015873015873015872,0.01574653564323481
-233.9679358717435,0.0,0.0
-232.96593186372746,0.0,0.0
-231.96392785571143,0.0,0.0
-230.9619238476954,0.0,0.0
-229.95991983967937,0.0,0.0
-228.95791583166334,0.031746031746031744,0.022088645799247856
-227.95591182364728,0.015873015873015872,0.01574653564323481
-226.95390781563125,0.015873015873015872,0.01574653564323481
-225.95190380761522,0.047619047619047616,0.026830293800905285
-224.9498997995992,0.0,0.0
-223.94789579158316,0.0,0.0
-222.94589178356713,0.0,0.0
-221.9438877755511,0.031746031746031744,0.022088645799247856
-220.94188376753507,0.047619047619047616,0.026830293800905285
-219.93987975951904,0.0,0.0
-218.93787575150301,0.015873015873015872,0.01574653564323481
-217.93587174348698,0.0,0.0
-216.93386773547095,0.0,0.0
-215.93186372745492,0.0,0.0
-214.92985971943887,0.015873015873015872,0.01574653564323481
-213.92785571142286,0.015873015873015872,0.01574653564323481
-212.9258517034068,0.015873015873015872,0.01574653564323481
-211.92384769539078,0.0,0.0
-210.92184368737475,0.0,0.0
-209.91983967935872,0.0,0.0
-208.9178356713427,0.0,0.0
-207.91583166332666,0.015873015873015872,0.01574653564323481
-206.91382765531063,0.0,0.0
-205.9118236472946,0.0,0.0
-204.90981963927857,0.031746031746031744,0.022088645799247852
-203.90781563126254,0.0,0.0
-202.9058116232465,0.0,0.0
-201.90380761523045,0.031746031746031744,0.022088645799247856
-200.90180360721445,0.0,0.0
-199.8997995991984,0.015873015873015872,0.01574653564323481
-198.8977955911824,0.031746031746031744,0.022088645799247852
-197.89579158316633,0.0,0.0
-196.8937875751503,0.0,0.0
-195.89178356713427,0.047619047619047616,0.026830293800905285
-194.88977955911824,0.015873015873015872,0.01574653564323481
-193.8877755511022,0.0,0.0
-192.88577154308618,0.015873015873015872,0.01574653564323481
-191.88376753507015,0.031746031746031744,0.022088645799247856
-190.88176352705412,0.0,0.0
-189.8797595190381,0.015873015873015872,0.01574653564323481
-188.87775551102206,0.0,0.0
-187.87575150300603,0.0,0.0
-186.87374749498997,0.0,0.0
-185.87174348697397,0.015873015873015872,0.01574653564323481
-184.8697394789579,0.0,0.0
-183.8677354709419,0.0,0.0
-182.86573146292585,0.0,0.0
-181.86372745490982,0.015873015873015872,0.01574653564323481
-180.8617234468938,0.015873015873015872,0.01574653564323481
-179.85971943887776,0.015873015873015872,0.01574653564323481
-178.85771543086173,0.0,0.0
-177.8557114228457,0.0,0.0
-176.85370741482967,0.015873015873015872,0.01574653564323481
-175.85170340681364,0.015873015873015872,0.01574653564323481
-174.8496993987976,0.015873015873015872,0.01574653564323481
-173.84769539078155,0.015873015873015872,0.01574653564323481
-172.84569138276555,0.015873015873015872,0.01574653564323481
-171.8436873747495,0.0,0.0
-170.8416833667335,0.015873015873015872,0.01574653564323481
